EmployeeCode,Gender,EmployeeName,OfficialEmail,Username,EmployeeCount,Over18,StandardHours,Company,Industry,Country,Age,AgeGroup,DateOfBirth,MaritalStatus,Education,EducationField,State,City,PhoneNumber,Department,JobRole,BusinessTravel,WorkMode,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HireDate,MonthlyIncome,SalarySlab,SalaryHikePercent,StockOptionLevel,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TrainingTimesLastYear,NumCompaniesWorked,PromotionLast5Years,OverTime,Attrition
HRA240021,Male,Amit Rao,amit.rao@hrhub.co.in,amit.rao,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,40,36-45,1986-07-31,Married,High School,General Education,Rajasthan,Udaipur,9564505810,Human Resources,Talent Acquisition Specialist,Travel_Rarely,Work From Office,17.2,17,13,7,15,2011-10-25,177650,10+ LPA,13,2,3,1,2,4,4,3,3.0,No,No,No
HRA240022,Female,Ishita Jain,ishita.jain@hrhub.co.in,ishita.jain,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,32,26-35,1994-07-29,Single,Master,Marketing,Tamil Nadu,Madurai,9963379226,Finance,Finance Executive,Travel_Rarely,Remote,3.8,1,0,0,1,2025-03-16,48250,3-6 LPA,25,3,3,3,1,3,2,0,3.8,No,No,No
HRA240023,Female,Riya Das,riya.das@hrhub.co.in,riya.das,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,44,36-45,1982-08-01,Single,Master,Business Administration,Telangana,Hyderabad,9914597736,IT,Software Engineer,Travel_Rarely,Hybrid,21.5,18,3,9,17,2007-07-09,138300,10+ LPA,14,3,4,2,4,4,3,1,9.0,No,No,No
HRA240024,Female,Khushi Patel,khushi.patel@hrhub.co.in,khushi.patel,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,56,55+,1970-08-04,Married,Bachelor,Human Resources,Gujarat,Surat,9131984449,IT,Software Engineer,Non-Travel,Work From Office,19.8,5,2,1,2,2009-03-20,164100,10+ LPA,20,2,3,2,1,2,2,4,4.0,No,No,No
HRA240025,Male,Sandeep Bose,sandeep.bose@hrhub.co.in,sandeep.bose,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,53,46-55,1973-08-03,Married,MBA,Operations,Gujarat,Surat,9798322900,Administration,Administrative Executive,Travel_Rarely,Work From Office,11.2,1,1,0,1,2017-10-24,101100,10+ LPA,22,2,3,3,1,2,3,2,2.0,No,Yes,No
HRA240026,Female,Anusha Das,anusha.das@hrhub.co.in,anusha.das,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,30,26-35,1996-07-28,Married,Diploma,Mechanical,Telangana,Warangal,9335359759,Operations,Supply Chain Coordinator,Travel_Rarely,Work From Office,7.3,2,2,0,2,2021-09-16,65200,6-10 LPA,21,3,3,3,4,2,4,1,7.0,No,No,Yes
HRA240027,Female,Priya Jain,priya.jain@hrhub.co.in,priya.jain,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,55,46-55,1971-08-04,Married,MBA,Marketing,Telangana,Warangal,9609797855,Administration,Office Administrator,Travel_Frequently,Work From Office,33.9,2,1,0,2,1995-02-16,146200,10+ LPA,10,0,3,1,4,2,2,5,2.0,No,Yes,No
HRA240028,Female,Khushi Mehta,khushi.mehta@hrhub.co.in,khushi.mehta,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,33,26-35,1993-07-29,Single,MBA,Human Resources,Karnataka,Hubballi,9567117753,Marketing,Content Strategist,Non-Travel,Remote,11.3,7,2,2,5,2017-09-17,120000,10+ LPA,23,3,3,3,1,4,3,5,5.0,No,No,No
HRA240029,Female,Harini Sharma,harini.sharma@hrhub.co.in,harini.sharma,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,43,36-45,1983-08-01,Single,PhD,Management,West Bengal,Howrah,9839507051,Sales,Sales Executive,Non-Travel,Work From Office,9.1,2,0,0,2,2019-11-29,59100,6-10 LPA,17,1,3,1,2,4,3,1,7.0,No,No,No
HRA240030,Male,Harsh Sharma,harsh.sharma@hrhub.co.in,harsh.sharma,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,54,46-55,1972-08-03,Single,High School,General Education,Uttar Pradesh,Lucknow,9730639085,Marketing,Marketing Executive,Travel_Rarely,Work From Office,22.6,16,6,6,16,2006-06-02,134550,10+ LPA,19,1,2,4,4,3,4,0,6.0,No,No,No
HRA240031,Female,Priya Sinha,priya.sinha@hrhub.co.in,priya.sinha,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,33,26-35,1993-07-29,Married,Bachelor,Commerce,Karnataka,Bengaluru,9577250402,Human Resources,Talent Acquisition Specialist,Non-Travel,Hybrid,7.8,1,0,0,1,2021-03-17,70150,6-10 LPA,9,1,3,3,3,4,2,0,7.8,Yes,No,Yes
HRA240032,Female,Anjali Kumar,anjali.kumar@hrhub.co.in,anjali.kumar,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,21,18-25,2005-07-26,Married,PhD,Management,Kerala,Kochi,9166081611,Human Resources,Talent Acquisition Specialist,Travel_Rarely,Work From Office,0.0,0,0,0,0,2029-01-01,28950,3-6 LPA,25,2,1,1,3,3,3,0,0.0,No,Yes,No
HRA240033,Male,Mohit Reddy,mohit.reddy@hrhub.co.in,mohit.reddy,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,57,55+,1969-08-04,Married,PhD,Management,Tamil Nadu,Madurai,9493565803,Sales,Business Development Executive,Travel_Rarely,Work From Office,14.5,7,2,1,4,2014-07-07,109450,10+ LPA,21,0,3,2,2,3,1,6,4.0,No,No,No
HRA240034,Female,Nikita Shah,nikita.shah@hrhub.co.in,nikita.shah,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,33,26-35,1993-07-29,Married,High School,General Education,Maharashtra,Pune,9539804886,IT,Data Analyst,Non-Travel,Work From Office,0.1,0,0,0,0,2028-11-26,41750,3-6 LPA,21,3,3,4,1,1,4,3,0.1,No,Yes,No
HRA240035,Male,Shubham Rao,shubham.rao@hrhub.co.in,shubham.rao,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,36,36-45,1990-07-30,Single,High School,General Education,Rajasthan,Jaipur,9501645466,Finance,Financial Analyst,Travel_Rarely,Work From Office,13.0,3,3,0,1,2016-01-05,117200,10+ LPA,23,3,3,2,3,4,3,3,4.0,No,No,No
HRA240036,Female,Anusha Mukherjee,anusha.mukherjee@hrhub.co.in,anusha.mukherjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,32,26-35,1994-07-29,Married,High School,General Education,Uttar Pradesh,Lucknow,9604261447,Administration,Administrative Executive,Travel_Rarely,Hybrid,2.9,0,0,0,0,2026-02-08,40550,3-6 LPA,14,2,3,2,4,3,3,2,1.0,No,No,No
HRA240037,Male,Deepak Sharma,deepak.sharma@hrhub.co.in,deepak.sharma,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,47,46-55,1979-08-02,Married,Bachelor,Marketing,Rajasthan,Udaipur,9620938373,Marketing,Digital Marketing Specialist,Non-Travel,Hybrid,8.1,2,1,1,0,2020-11-28,80100,6-10 LPA,14,0,3,3,3,1,2,3,1.0,No,Yes,Yes
HRA240038,Female,Megha Mehta,megha.mehta@hrhub.co.in,megha.mehta,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,23,18-25,2003-07-27,Married,Diploma,Computer,West Bengal,Kolkata,9384155109,Operations,Operations Manager,Travel_Rarely,Work From Office,1.9,1,0,0,1,2027-02-08,66300,6-10 LPA,22,0,3,3,2,1,4,1,1.9,Yes,No,No
HRA240039,Male,Varun Sen,varun.sen@hrhub.co.in,varun.sen,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,29,26-35,1997-07-28,Married,Diploma,Computer,Rajasthan,Jaipur,9326727332,IT,Data Analyst,Travel_Rarely,Remote,3.4,2,1,1,2,2025-08-09,55700,6-10 LPA,23,2,3,4,4,3,2,4,3.4,No,No,No
HRA240040,Male,Nikhil Nair,nikhil.nair@hrhub.co.in,nikhil.nair,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,40,36-45,1986-07-31,Married,Master,Finance,Telangana,Warangal,9849053667,Operations,Supply Chain Coordinator,Travel_Rarely,Work From Office,3.6,3,0,0,0,2025-05-28,53550,6-10 LPA,24,0,3,3,1,2,2,1,3.0,Yes,No,No
HRA240041,Male,Raj Agarwal,raj.agarwal@hrhub.co.in,raj.agarwal,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,24,18-25,2002-07-27,Single,Bachelor,Marketing,Maharashtra,Mumbai,9362801938,Marketing,Content Strategist,Travel_Frequently,Work From Office,2.6,0,0,0,0,2026-05-28,46000,3-6 LPA,23,3,3,1,3,4,2,2,1.0,No,No,Yes
HRA240042,Female,Pooja Agarwal,pooja.agarwal@hrhub.co.in,pooja.agarwal,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,50,46-55,1976-08-02,Married,Diploma,Electrical,Telangana,Warangal,9046026224,Sales,Sales Manager,Travel_Rarely,Work From Office,4.2,2,0,0,1,2024-10-21,100200,10+ LPA,12,2,1,4,2,1,1,4,4.0,Yes,No,No
HRA240043,Female,Swati Agarwal,swati.agarwal@hrhub.co.in,swati.agarwal,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,43,36-45,1983-08-01,Single,MBA,Finance,Maharashtra,Nagpur,9975268665,Administration,Facility Coordinator,Travel_Rarely,Work From Office,16.8,5,0,1,0,2012-03-19,149000,10+ LPA,12,3,4,1,4,1,3,6,3.0,No,Yes,Yes
HRA240044,Male,Aarav Banerjee,aarav.banerjee@hrhub.co.in,aarav.banerjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,39,36-45,1987-07-31,Married,PhD,Finance,Telangana,Hyderabad,9607024748,Sales,Sales Manager,Non-Travel,Work From Office,9.4,8,8,4,2,2019-08-11,92450,10+ LPA,19,1,3,3,2,2,2,1,2.0,No,No,No
HRA240045,Female,Kavya Banerjee,kavya.banerjee@hrhub.co.in,kavya.banerjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,25,18-25,2001-07-27,Single,PhD,Finance,Delhi,New Delhi,9754318864,Human Resources,Talent Acquisition Specialist,Travel_Rarely,Work From Office,0.2,0,0,0,0,2028-10-20,27250,3-6 LPA,24,1,3,3,3,3,1,2,0.2,No,No,No
HRA240046,Male,Vikas Nair,vikas.nair@hrhub.co.in,vikas.nair,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,47,46-55,1979-08-02,Divorced,MBA,Finance,Delhi,New Delhi,9721135980,Human Resources,HR Executive,Travel_Rarely,Work From Office,19.7,13,9,3,4,2009-04-26,122700,10+ LPA,6,0,3,1,1,2,2,2,2.0,Yes,No,Yes
HRA240047,Male,Mohit Banerjee,mohit.banerjee@hrhub.co.in,mohit.banerjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,54,46-55,1972-08-03,Single,Master,Human Resources,West Bengal,Howrah,9633161408,Finance,Accountant,Travel_Rarely,Work From Office,2.8,1,0,0,1,2026-03-17,58300,6-10 LPA,13,0,3,1,3,1,1,4,0.0,Yes,No,No
HRA240048,Female,Priya Sinha,priya.sinha@hrhub.co.in,priya.sinha,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,32,26-35,1994-07-29,Married,Diploma,Computer,Delhi,New Delhi,9951763524,Administration,Office Administrator,Travel_Frequently,Work From Office,7.7,6,3,0,0,2021-04-23,63000,6-10 LPA,18,2,3,1,2,3,2,1,5.0,No,No,No
HRA240049,Female,Sneha Banerjee,sneha.banerjee@hrhub.co.in,sneha.banerjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,41,36-45,1985-07-31,Married,Master,Human Resources,Delhi,New Delhi,9279975261,Human Resources,Talent Acquisition Specialist,Travel_Rarely,Remote,12.5,8,1,3,8,2016-07-06,97750,10+ LPA,20,0,3,1,1,1,3,1,4.0,Yes,No,No
HRA240050,Female,Neha Kapoor,neha.kapoor@hrhub.co.in,neha.kapoor,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,44,36-45,1982-08-01,Married,High School,General Education,Uttar Pradesh,Lucknow,9741906695,Human Resources,HR Business Partner,Travel_Frequently,Work From Office,10.9,0,0,0,0,2018-02-10,91650,10+ LPA,7,3,3,1,4,1,4,0,3.0,No,Yes,Yes
HRA240051,Male,Pranav Gupta,pranav.gupta@hrhub.co.in,pranav.gupta,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,52,46-55,1974-08-03,Single,High School,General Education,Uttar Pradesh,Lucknow,9035796564,Administration,Office Administrator,Travel_Rarely,Work From Office,24.0,20,10,4,4,2005-01-07,171200,10+ LPA,17,0,3,4,2,3,1,0,6.0,No,Yes,No
HRA240052,Male,Harsh Sen,harsh.sen@hrhub.co.in,harsh.sen,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,22,18-25,2004-07-26,Married,Bachelor,Finance,Gujarat,Surat,9662482230,Operations,Operations Manager,Non-Travel,Hybrid,0.1,0,0,0,0,2028-11-26,64350,6-10 LPA,21,2,2,3,2,2,3,5,0.1,No,Yes,No
HRA240053,Female,Khushi Mishra,khushi.mishra@hrhub.co.in,khushi.mishra,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,34,26-35,1992-07-29,Single,Diploma,Mechanical,Telangana,Warangal,9950605411,Operations,Operations Executive,Travel_Rarely,Remote,8.5,3,2,1,1,2020-07-05,73600,6-10 LPA,5,3,3,1,4,4,3,3,6.0,Yes,No,No
HRA240054,Male,Aarav Joshi,aarav.joshi@hrhub.co.in,aarav.joshi,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,24,18-25,2002-07-27,Married,Bachelor,Human Resources,Tamil Nadu,Madurai,9474733435,Operations,Supply Chain Coordinator,Non-Travel,Work From Office,1.3,1,0,0,1,2027-09-15,31200,3-6 LPA,9,2,4,1,4,3,1,2,0.0,No,Yes,Yes
HRA240055,Male,Raj Khan,raj.khan@hrhub.co.in,raj.khan,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,57,55+,1969-08-04,Single,MBA,Operations,Tamil Nadu,Madurai,9095290550,Marketing,Digital Marketing Specialist,Travel_Rarely,Work From Office,18.1,16,8,7,4,2010-12-01,151850,10+ LPA,21,0,3,2,2,3,1,3,10.0,Yes,No,No
HRA240056,Male,Varun Sharma,varun.sharma@hrhub.co.in,varun.sharma,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,58,55+,1968-08-04,Married,Master,Finance,Uttar Pradesh,Kanpur,9908806831,Sales,Sales Executive,Travel_Rarely,Hybrid,4.4,4,2,2,1,2024-08-09,46250,3-6 LPA,10,1,3,1,2,3,4,3,4.4,Yes,Yes,No
HRA240057,Male,Raj Kumar,raj.kumar@hrhub.co.in,raj.kumar,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,45,36-45,1981-08-01,Single,Diploma,Computer,Karnataka,Mysuru,9134277323,Human Resources,Talent Acquisition Specialist,Travel_Rarely,Hybrid,20.7,5,0,2,2,2008-04-26,168950,10+ LPA,5,2,2,4,2,4,3,0,5.0,No,No,No
HRA240058,Female,Deepika Khan,deepika.khan@hrhub.co.in,deepika.khan,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,21,18-25,2005-07-26,Divorced,PhD,Management,Kerala,Kochi,9530955877,Marketing,Content Strategist,Travel_Frequently,Work From Office,0.0,0,0,0,0,2029-01-01,33450,3-6 LPA,19,1,3,1,4,1,2,4,0.0,Yes,No,Yes
HRA240059,Male,Deepak Saha,deepak.saha@hrhub.co.in,deepak.saha,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,31,26-35,1995-07-29,Single,High School,General Education,Gujarat,Ahmedabad,9502469484,Operations,Supply Chain Coordinator,Non-Travel,Work From Office,1.4,0,0,0,0,2027-08-10,25100,3-6 LPA,20,1,3,3,4,1,3,1,1.4,No,Yes,No
HRA240060,Female,Shreya Mukherjee,shreya.mukherjee@hrhub.co.in,shreya.mukherjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,51,46-55,1975-08-03,Single,MBA,Marketing,Karnataka,Bengaluru,9168226080,Marketing,Content Strategist,Travel_Rarely,Work From Office,3.2,1,0,0,1,2025-10-21,48750,3-6 LPA,22,1,3,2,4,3,4,5,3.0,No,Yes,No
HRA240061,Female,Ananya Sen,ananya.sen@hrhub.co.in,ananya.sen,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,34,26-35,1992-07-29,Married,Master,Finance,Tamil Nadu,Coimbatore,9540770053,Human Resources,HR Business Partner,Travel_Frequently,Work From Office,1.7,0,0,0,0,2027-04-22,33850,3-6 LPA,5,1,3,2,3,1,2,5,1.7,No,No,No
HRA240062,Male,Karan Patel,karan.patel@hrhub.co.in,karan.patel,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,49,46-55,1977-08-02,Married,Diploma,Computer,Karnataka,Mysuru,9641533070,IT,Network Engineer,Travel_Rarely,Hybrid,1.7,1,0,0,0,2027-04-22,34000,3-6 LPA,7,3,3,1,3,3,2,0,1.7,No,Yes,Yes
HRA240063,Male,Gaurav Sen,gaurav.sen@hrhub.co.in,gaurav.sen,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,21,18-25,2005-07-26,Single,Master,Business Administration,Karnataka,Mysuru,9037930618,Marketing,Marketing Executive,Non-Travel,Hybrid,0.0,0,0,0,0,2029-01-01,24150,0-3 LPA,17,1,4,4,3,2,3,3,0.0,No,No,Yes
HRA240064,Female,Ananya Singh,ananya.singh@hrhub.co.in,ananya.singh,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,45,36-45,1981-08-01,Married,Diploma,Mechanical,Gujarat,Vadodara,9367912072,Operations,Supply Chain Coordinator,Travel_Rarely,Work From Office,13.2,10,9,0,3,2015-10-24,105200,10+ LPA,5,0,3,4,3,3,3,3,5.0,No,No,No
